date,net_load,AT_load_actual_entsoe_transparency,AT_solar_generation_actual,AT_wind_onshore_generation_actual,air_density,humidity,irradiance_surface,irradiance_toa,snow_mass,snowfall,temperature,wind_speed
2018/1/1 0:00,5102,5934,0,832,1.175,0.004,0,0,10.41,0.006,-0.489,1.193
2018/1/1 1:00,4803,5729,0,926,1.179,0.004,0,0,10.42,0.006,-0.701,1.271
2018/1/1 2:00,4775,5467,0,692,1.181,0.004,0,0,10.437,0.013,-0.658,1.404
2018/1/1 3:00,4874,5327,0,453,1.182,0.004,0,0,10.466,0.032,-0.714,1.205
2018/1/1 4:00,5102,5423,0,321,1.182,0.004,0,0,10.512,0.054,-0.539,1.276
2018/1/1 5:00,5134,5457,0,323,1.182,0.004,0,0,10.551,0.043,-0.013,1.456
2018/1/1 6:00,5552,5892,8,332,1.181,0.004,0.283,2.496,10.571,0.043,0.486,1.566
2018/1/1 7:00,5820,6145,21,304,1.179,0.004,19.302,116.517,10.583,0.049,1.166,1.722
2018/1/1 8:00,6166,6508,66,276,1.177,0.004,59.535,277.439,10.586,0.051,2.172,1.903
2018/1/1 9:00,6370,6832,125,337,1.174,0.005,88.169,391.895,10.571,0.055,3.076,1.904
2018/1/1 10:00,6423,7115,169,523,1.172,0.005,104.46,451.831,10.543,0.062,3.577,1.74
2018/1/1 11:00,6179,7144,184,781,1.17,0.005,109.644,453.189,10.511,0.074,3.789,1.577
2018/1/1 12:00,5889,7048,165,994,1.17,0.005,98.769,395.853,10.486,0.078,3.682,1.31
2018/1/1 13:00,5992,6992,115,885,1.169,0.005,69.142,283.79,10.484,0.062,3.232,1.041
2018/1/1 14:00,6141,6936,56,739,1.169,0.004,28.32,124.557,10.514,0.042,2.385,0.889
2018/1/1 15:00,6686,7199,18,495,1.17,0.004,1.222,4.601,10.555,0.027,1.462,0.909
2018/1/1 16:00,7302,7543,8,233,1.171,0.004,0,0,10.595,0.029,0.913,0.979
2018/1/1 17:00,7403,7608,8,197,1.172,0.004,0,0,10.647,0.057,0.368,1.021
2018/1/1 18:00,7102,7323,0,221,1.172,0.004,0,0,10.854,0.311,-0.14,1.005
2018/1/1 19:00,6738,6953,0,215,1.173,0.004,0,0,11.082,0.147,-0.375,1.045
2018/1/1 20:00,6337,6524,0,187,1.174,0.004,0,0,11.183,0.044,-0.548,1.064
2018/1/1 21:00,6409,6559,0,150,1.175,0.004,0,0,11.224,0.018,-0.662,1.04
2018/1/1 22:00,6065,6200,0,135,1.177,0.004,0,0,11.255,0.028,-0.913,1.067
2018/1/1 23:00,5708,5942,0,234,1.177,0.004,0,0,11.294,0.035,-1.23,1.085
2018/1/2 0:00,5269,5606,0,337,1.178,0.003,0,0,11.337,0.041,-1.447,1.17
2018/1/2 1:00,4974,5478,0,504,1.179,0.003,0,0,11.387,0.054,-1.561,1.256
2018/1/2 2:00,4858,5430,0,572,1.181,0.003,0,0,11.44,0.049,-1.459,1.388
2018/1/2 3:00,5151,5602,0,451,1.181,0.004,0,0,11.476,0.038,-1.169,1.681
2018/1/2 4:00,5725,6209,0,484,1.181,0.004,0,0,11.504,0.037,-0.813,1.828
2018/1/2 5:00,6327,7007,0,680,1.181,0.004,0,0,11.529,0.037,-0.557,1.923
2018/1/2 6:00,6794,7915,8,1113,1.18,0.004,0.537,2.716,11.555,0.04,-0.354,2.105
2018/1/2 7:00,6771,8401,24,1606,1.18,0.004,30.885,118.209,11.585,0.046,0.375,2.319
2018/1/2 8:00,6686,8682,78,1918,1.179,0.004,82.815,279.26,11.603,0.046,1.486,2.591
2018/1/2 9:00,6580,8770,153,2037,1.178,0.004,124.314,393.779,11.596,0.044,2.263,2.678
2018/1/2 10:00,6502,8877,208,2167,1.177,0.004,143.971,453.76,11.568,0.043,2.737,2.829
2018/1/2 11:00,6315,8821,226,2280,1.176,0.004,147.097,455.114,11.534,0.048,2.92,3.151
2018/1/2 12:00,6319,8681,206,2156,1.176,0.004,127.348,397.781,11.509,0.047,2.86,3.036
2018/1/2 13:00,6394,8610,154,2062,1.178,0.004,90.839,285.609,11.49,0.045,2.56,2.841
2018/1/2 14:00,6542,8656,77,2037,1.18,0.004,36.193,126.31,11.497,0.039,1.838,2.524
2018/1/2 15:00,7056,8891,22,1813,1.183,0.004,1.028,4.879,11.53,0.047,0.801,2.299
2018/1/2 16:00,7606,9273,8,1659,1.185,0.004,0,0,11.567,0.037,0.213,2.24
2018/1/2 17:00,7405,9145,8,1732,1.187,0.004,0,0,11.596,0.027,-0.181,2.186
2018/1/2 18:00,6972,8651,0,1679,1.188,0.004,0,0,11.628,0.038,-0.501,2.184
2018/1/2 19:00,6369,8092,0,1723,1.189,0.004,0,0,11.661,0.031,-0.922,1.991
2018/1/2 20:00,5653,7507,0,1854,1.189,0.004,0,0,11.697,0.038,-1.115,1.96
2018/1/2 21:00,5567,7549,0,1982,1.19,0.003,0,0,11.735,0.037,-1.351,1.893
2018/1/2 22:00,5254,7003,0,1749,1.19,0.003,0,0,11.78,0.046,-1.704,1.821
2018/1/2 23:00,5593,6654,0,1061,1.19,0.003,0,0,11.837,0.057,-2.158,1.54
2018/1/3 0:00,5769,6357,0,588,1.19,0.003,0,0,11.92,0.079,-2.395,1.288
2018/1/3 1:00,5924,6200,0,276,1.189,0.003,0,0,12.019,0.099,-2.346,1.189
2018/1/3 2:00,5862,6112,0,250,1.188,0.003,0,0,12.112,0.098,-2.114,1.195
2018/1/3 3:00,5809,6206,0,397,1.186,0.003,0,0,12.195,0.123,-1.699,1.235
2018/1/3 4:00,5999,6780,0,781,1.184,0.003,0,0,12.294,0.12,-1.253,1.344
2018/1/3 5:00,6100,7502,0,1402,1.183,0.003,0,0,12.358,0.075,-0.965,1.619
2018/1/3 6:00,6469,8440,8,1963,1.181,0.003,0.517,2.97,12.366,0.042,-0.708,2.027
2018/1/3 7:00,6717,8824,16,2091,1.179,0.004,31.903,120.039,12.323,0.036,-0.184,2.621
2018/1/3 8:00,6747,8992,44,2201,1.176,0.004,106.493,281.228,12.234,0.072,0.872,3.188
2018/1/3 9:00,6824,9168,83,2261,1.17,0.004,143.597,395.839,12.1,0.083,1.87,3.618
2018/1/3 10:00,6823,9251,129,2299,1.164,0.004,127.719,455.87,11.894,0.05,2.644,3.965
2018/1/3 11:00,6746,9206,148,2312,1.158,0.005,132.521,457.226,11.694,0.123,3.397,4.136
2018/1/3 12:00,7003,9223,113,2107,1.157,0.005,105.689,399.84,11.718,0.422,3.617,4.111
2018/1/3 13:00,7338,9157,85,1734,1.16,0.004,59.736,287.622,11.926,0.402,3.146,3.683
2018/1/3 14:00,7317,8994,48,1629,1.162,0.004,25.773,128.207,12.089,0.218,2.955,3.69
2018/1/3 15:00,7219,9220,16,1985,1.165,0.004,0.746,5.195,12.148,0.074,2.304,3.648
2018/1/3 16:00,7534,9475,8,1933,1.166,0.004,0,0,12.134,0.039,1.83,3.618
2018/1/3 17:00,7258,9274,8,2008,1.167,0.004,0,0,12.098,0.022,1.618,3.453
2018/1/3 18:00,6902,8713,0,1811,1.167,0.004,0,0,12.045,0.014,1.662,3.716
2018/1/3 19:00,6466,8247,0,1781,1.167,0.004,0,0,11.991,0.015,1.591,3.979
2018/1/3 20:00,5860,7652,0,1792,1.167,0.004,0,0,11.939,0.014,1.512,3.932
2018/1/3 21:00,5618,7553,0,1935,1.168,0.004,0,0,11.892,0.011,1.433,3.868
2018/1/3 22:00,5088,7064,0,1976,1.169,0.004,0,0,11.851,0.009,1.339,3.794
2018/1/3 23:00,4783,6758,0,1975,1.169,0.004,0,0,11.817,0.011,1.242,3.702
2018/1/4 0:00,4314,6450,0,2136,1.17,0.004,0,0,11.79,0.014,1.107,3.514
2018/1/4 1:00,4147,6240,0,2093,1.171,0.004,0,0,11.767,0.016,0.983,3.333
2018/1/4 2:00,3895,6052,0,2157,1.172,0.004,0,0,11.75,0.018,0.905,3.138
2018/1/4 3:00,4421,6186,0,1765,1.172,0.004,0,0,11.741,0.021,0.862,2.868
2018/1/4 4:00,5063,6729,0,1666,1.172,0.004,0,0,11.744,0.027,0.82,2.7
2018/1/4 5:00,5774,7480,0,1706,1.172,0.004,0,0,11.761,0.034,0.793,2.495
2018/1/4 6:00,6778,8296,8,1510,1.172,0.004,0.624,3.252,11.788,0.038,0.764,2.256
2018/1/4 7:00,7220,8694,20,1454,1.172,0.004,36.592,122.021,11.832,0.056,1.268,2.148
